id    name    path
1    sato    Assets/Resources_moved/Prefabs/PlayerInput.prefab
2    airi    Assets/Resources_moved/Prefabs/PlayerInput.prefab
3    ninomiya    Assets/Resources_moved/Prefabs/PlayerInput.prefab
4    katou    Assets/Resources_moved/Prefabs/PlayerInput.prefab
5    yamada    Assets/Resources_moved/Prefabs/PlayerInput.prefab
6    itou    Assets/Resources_moved/Prefabs/PlayerInput.prefab
7    kaede    Assets/Resources_moved/Prefabs/PlayerInput.prefab
8    kaoru    Assets/Resources_moved/Prefabs/PlayerInput.prefab
9    hito    Assets/Resources_moved/Prefabs/PlayerInput.prefab
10    ningen    Assets/Resources_moved/Prefabs/PlayerInput.prefab
        
